Package,Source,RecordedVersion
circlize,CRAN,0.4.18
corrplot,CRAN,0.95
dbplyr,CRAN,2.5.2
dplyr,CRAN,1.2.1
ggplot2,CRAN,4.0.3
ggpubr,CRAN,1.0.0
ggrepel,CRAN,0.9.8
homologene,CRAN,1.4.68.19.3.27
IOBR,Bioconductor,2.2.3
matrixStats,CRAN,1.5.0
msigdbr,CRAN,26.1.1
nlme,CRAN,3.1-169
patchwork,CRAN,1.3.2
pheatmap,CRAN,1.0.13
RColorBrewer,CRAN,1.1-3
readr,CRAN,2.2.0
readxl,CRAN,1.5.0
scales,CRAN,1.4.0
stringr,CRAN,1.6.0
tibble,CRAN,3.3.1
tidyr,CRAN,1.3.2
tidyverse,CRAN,2.0.0
uwot,CRAN,0.2.4
WGCNA,CRAN,1.74
AnnotationDbi,Bioconductor,1.74.0
clusterProfiler,Bioconductor,4.20.0
ComplexHeatmap,Bioconductor,2.28.0
DESeq2,Bioconductor,1.52.0
GSVA,Bioconductor,2.6.2
org.Mm.eg.db,Bioconductor,3.23.0
ReactomePA,Bioconductor,1.56.0
S4Vectors,Bioconductor,0.50.1
SummarizedExperiment,Bioconductor,1.42.0
sva,Bioconductor,3.60.0
